fecha_hora,tipo_salida,precio_entrada,precio_salida,rendimiento_pct,capital_resultante
2026-08-11 07:03:12,TAKE_PROFIT,64016.0,63971.5,-0.22,99.78
2026-08-14 22:20:06,TAKE_PROFIT,62814.5,62929.0,0.03,99.66
2026-08-16 15:19:23,TAKE_PROFIT,63004.4,63096.5,-0.0,99.51
2026-08-19 13:42:04,TAKE_PROFIT,64234.2,64886.1,0.86,100.22
2026-08-22 20:19:37,TAKE_PROFIT,77111.1,77415.4,0.24,100.31
2026-08-23 12:34:20,TAKE_PROFIT,76088.8,77301.8,1.44,101.61
2026-08-25 22:24:04,STOP_LOSS,78922.9,77933.8,-1.4,100.03
2026-08-29 10:46:49,TAKE_PROFIT,77396.3,77646.1,0.17,100.06
2026-08-31 17:52:06,TAKE_PROFIT,77469.0,78643.8,1.37,101.27
2026-09-02 10:37:50,STOP_LOSS,77301.6,76585.46785714285,-1.08,100.03
2026-09-05 17:08:24,TAKE_PROFIT,79388.5,80041.8,0.67,100.55
